Orthogroup	Branchiostoma_floridae	Capitella_teleta	Crassostrea_ariakensis	Crassostrea_gigas	Cyclina_sinensis	Drosophila_melanogaster	Homo_sapiens	Mytilus_coruscus	Nautilus_pompilius	Nematostella_vectensis	Patinopecten_yessoensis	Pomacea_canaliculata	Sinonovacula_constricta	Sinonovacula_rivularis	Tegillarca_granosa	Total
OG0000209	6	0	28	0	8	0	0	103	0	0	0	0	0	1	5	151
OG0000210	10	1	19	19	11	1	0	14	4	1	17	9	17	9	18	150
OG0000211	0	41	13	15	23	0	0	3	1	0	1	14	17	11	10	149
OG0000212	3	7	8	16	22	0	0	21	1	1	13	7	19	24	6	148
OG0000213	40	6	6	9	9	1	2	19	8	7	11	13	7	5	5	148
OG0000214	10	21	4	11	16	0	0	28	0	6	8	0	16	3	25	148
OG0000215	15	7	12	11	10	2	5	19	6	3	18	11	8	4	17	148
OG0000216	23	2	11	14	9	0	0	23	2	5	9	30	8	2	9	147
OG0000217	33	9	6	9	15	1	10	16	2	0	13	3	8	7	14	146
OG0000218	0	6	21	21	19	1	0	16	6	0	14	12	14	10	6	146
OG0000219	6	10	15	4	13	1	2	47	1	2	3	3	32	6	1	146
OG0000220	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	146
OG0000221	0	23	32	12	4	0	0	19	0	21	8	0	3	2	22	146
OG0000222	0	5	12	11	16	1	0	16	6	0	36	3	13	14	12	145
OG0000223	16	11	12	16	3	9	3	22	4	10	12	9	3	3	12	145
OG0000224	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	145
OG0000225	0	1	0	0	0	0	0	0	0	0	0	0	0	144	0	145
OG0000226	7	10	10	11	21	1	2	18	3	0	7	3	21	19	11	144
OG0000227	16	21	9	25	1	19	14	8	2	26	0	0	3	0	0	144
OG0000228	8	17	12	11	13	4	5	11	2	4	13	9	7	8	19	143
OG0000229	21	11	14	19	9	0	1	10	5	9	4	18	8	3	10	142
OG0000230	0	0	13	29	13	0	0	24	0	0	15	4	20	14	10	142
